originalContent,correctedSentence,changes,temp_lower
"Back to Top CS229 Gaussian Discriminant Analysis Generative Learning Algorithms Weve mainly looked at learning algorithms that model Pyx, the conditional distribution of y given x.","Back to Top CS229 Gaussian Discriminant Analysis Generative Learning Algorithms We've mainly looked at learning algorithms that model Pyx, the conditional distribution of y given x.","Back to Top CS229 Gaussian Discriminant Analysis Generative Learning Algorithms <b> We've </b> mainly looked at learning algorithms that model Pyx, the conditional distribution of y given x.","back to top cs229 gaussian discriminant analysis generative learning algorithms <b> we've </b> mainly looked at learning algorithms that model pyx, the conditional distribution of y given x."
"For instance, logistic regression modeled Pyx as hxgTx where g is sigmoid function.","For instance, logistic regression modelled Pyx as hxgTx where g is sigmoid function.","For instance, logistic regression <b> modelled </b> Pyx as hxgTx where g is sigmoid function.","for instance, logistic regression <b> modelled </b> pyx as hxgtx where g is sigmoid function."
"In this section, well talk about a different type algorithm.","In this section, we'll talk about a different type of algorithm.","In this section, <b> we'll </b> talk about a different type <b> of </b> algorithm.","in this section, <b> we'll </b> talk about a different type <b> of </b> algorithm."
Lets use binary classification problem motivation behind our discussion.,Let's use binary classification problem motivation behind our discussion.,<b> Let's </b> use binary classification problem motivation behind our discussion.,<b> let's </b> use binary classification problem motivation behind our discussion.
Consider in which we want learn distinguish between malignant y1 and benign y0 tumors.,Consider in which we want to learn to distinguish between malignant y1 and benign y0 tumours.,Consider in which we want <b> to </b> learn <b> to </b> distinguish between malignant y1 and benign y0 <b> tumours. </b>,consider in which we want <b> to </b> learn <b> to </b> distinguish between malignant y1 and benign y0 <b> tumours. </b>
"Given training set, an algorithm like , or initially starts with randomly initialized parameters.","Given a training set, an algorithm like , or initially starts with randomly initialised parameters.","Given <b> a </b> training set, an algorithm like , or initially starts with randomly <b> initialised </b> parameters.","given <b> a </b> training set, an algorithm like , or initially starts with randomly <b> initialised </b> parameters."
"Over course learning, performs gradient descent straight line hyperplane decision boundary evolves until you obtain separates positivenegative examples case, Then, classify new sample either benign, it checks on side falls in, makes its prediction accordingly.","Over the course of learning, it performs gradient descent on a straight line hyperplane decision boundary, which evolves until it separates positive and negative examples. Then, it classifies a new sample as either benign or malignant, depending on which side it falls in, and makes its prediction accordingly.","Over <b> the </b> course <b> of </b> learning, <b> it </b> performs gradient descent <b> on a </b> straight line hyperplane decision <b> boundary, which </b> evolves until <b> it </b> separates <b> positive and negative examples. </b> Then, <b> it classifies a </b> new sample <b> as </b> either <b> benign or malignant, depending on which side </b> it falls in, <b> and </b> makes its prediction accordingly.","over <b> the </b> course <b> of </b> learning, <b> it </b> performs gradient descent <b> on a </b> straight line hyperplane decision <b> boundary, which </b> evolves until <b> it </b> separates <b> positive and negative examples. </b> then, <b> it classifies a </b> new sample <b> as </b> either <b> benign or malignant, depending on which side </b> it falls in, <b> and </b> makes its prediction accordingly."
Theres class arent trying maximize likelihood looking both classes searching for separation boundary.,"There's a class that aren't trying to maximise likelihood, looking at both classes and searching for a separation boundary.","<b> There's a </b> class <b> that aren't </b> trying <b> to maximise likelihood, </b> looking <b> at </b> both classes <b> and </b> searching for <b> a </b> separation boundary.","<b> there's a </b> class <b> that aren't </b> trying <b> to maximise likelihood, </b> looking <b> at </b> both classes <b> and </b> searching for <b> a </b> separation boundary."
"Instead, these look one time.","Instead, these look at one time.","Instead, these look <b> at </b> one time.","instead, these look <b> at </b> one time."
"First, tumors, can features what tumors like.","First, tumours can have features that are like other tumours.","First, <b> tumours </b> can <b> have </b> features <b> that are like other tumours. </b>","first, <b> tumours </b> can <b> have </b> features <b> that are like other tumours. </b>"
