,orignal_list,corrected_list
0,"The quality of care, both technically and inter-personally,... - Hal N.","The quality of care, both technically and interpersonally,... - Hal N."
1,"I've been going to the Smile Cliniq for the past couple of years, and the treatment, care and advice from Chetan and his team has been faultless.","I've been going to the Smile Cliniq for the past couple of years, and the treatment, care and advice from Chetan and his team have been faultless."
2,"Dr Kaher put me at ease, even though I was ve... - Robyn B","Dr Kaher put me at ease, even though I was very... - Robyn B"
3,They were able to squeeze m... - Saya Jones,They were able to squeeze me... - Saya Jones
4,We've been looking for a good dentist since moving to London 2 and 1/2 years ago and the quality we had received from our previous dentis... - Greg Jones,We've been looking for a good dentist since moving to London 2 and 1/2 years ago and the quality we had received from our previous dentist... - Greg Jones
5,I don't shake a... - DEBRA MERRITT,I don't shake any... - DEBRA MERRITT
6,"Fantastic service, professional and top notch technology.","Fantastic service, professional and top-notch technology."
7,Very hygenic and Dr Chetan Kaher has a very steady and experienced hand.,Very hygienic and Dr Chetan Kaher has a very steady and experienced hand.
8,I don't shake a... - DEBRA MERRITT,I don't shake any... - DEBRA MERRITT
9,"Dentist was also friendly and efficient,Gave me lots of advice about dental care showing video. - Filippa Milioto","The dentist was also friendly and efficient, gave me lots of advice about dental care showing video. - Filippa Milioto"
10,"I found the the team at smile very professional and friendly, nothing was too much trouble.","I found the team at Smile very professional and friendly, nothing was too much trouble."
11,Chet presented all the options and my selected course of treatment took place over a year.,Chet presented all the options and my selected course of treatment took place over a
